images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label,Name,Imprint,Color,Shape,Strength
0.jpg,51285-0092-87_BE305F72,51285,92,False,False,False,fcn_mix_weight/dc_224/0.jpg,51285-0092-87_BE305F72,LoSeasonique,b 28; b 556,Orange; Yellow,Round,ethinyl estradiol 0.01 mg; ethinyl estradiol 0.02 mg / levonorgestrel 0.1 mg
10.jpg,00093-0148-01_4629A34D,93,148,False,False,False,fcn_mix_weight/dc_224/10.jpg,00093-0148-01_4629A34D,Naproxen,93 148; TV 148,Orange; Peach,Oval,375 mg
100.jpg,00093-7248-06_7829BC3D,93,7248,False,True,False,fcn_mix_weight/dc_224/100.jpg,00093-7248-06_7829BC3D,Lamotrigine,9 3 7248,Blue,Four-sided,200 mg
1003.jpg,00093-0928-06_6926B4E5,93,928,False,False,False,fcn_mix_weight/dc_224/1003.jpg,00093-0928-06_6926B4E5,Lovastatin,TEVA 928; 93 928,Green,Round,40 mg
1004.jpg,50111-0459-01_1C300E70,50111,459,False,True,False,fcn_mix_weight/dc_224/1004.jpg,50111-0459-01_1C300E70,Theophylline Extended-Release,PLIVA 459; SL 459,White,Capsule-shape,300 mg
1005.jpg,16252-0590-99_2B2015D0,16252,590,False,False,False,fcn_mix_weight/dc_224/1005.jpg,16252-0590-99_2B2015D0,,,,,
1006.jpg,00093-7220-06_692934D9,93,7220,False,True,False,fcn_mix_weight/dc_224/1006.jpg,00093-7220-06_692934D9,Topiramate,93 7220,Pink,Capsule-shape,200 mg
1007.jpg,47335-0894-81_7F1DBFBD,47335,894,False,True,False,fcn_mix_weight/dc_224/1007.jpg,47335-0894-81_7F1DBFBD,Clopidogrel Bisulfate,894,Pink,Round,75 mg (base)
1008.jpg,00093-5256-68_8727C3AE,93,5256,False,False,False,fcn_mix_weight/dc_224/1008.jpg,00093-5256-68_8727C3AE,Clindamycin Hydrochloride,93 5256 93 5256; TEVA 5256,Blue,Capsule-shape,300 mg
1009.jpg,00093-7188-56_0323818C,93,7188,False,False,False,fcn_mix_weight/dc_224/1009.jpg,00093-7188-56_0323818C,Fluoxetine Hydrochloride,9 3 7188,Blue,Oval,10 mg
1010.jpg,15456-0980-04_9418CA26,15456,980,False,True,False,fcn_mix_weight/dc_224/1010.jpg,15456-0980-04_9418CA26,Sanctura,S,Brown,Round,20 MG
1011.jpg,00555-0572-35_1B2B8DCC,555,572,False,False,False,fcn_mix_weight/dc_224/1011.jpg,00555-0572-35_1B2B8DCC,,,,,
1012.jpg,60505-2671-09_AB1DD5AE,60505,2671,False,True,False,fcn_mix_weight/dc_224/1012.jpg,60505-2671-09_AB1DD5AE,Atorvastatin Calcium,APO ATV 80,White,Oval,80 mg
1013.jpg,00093-0028-01_6A29B54D,93,28,False,False,False,fcn_mix_weight/dc_224/1013.jpg,00093-0028-01_6A29B54D,Enalapril Maleate,93 28,Pink,Oval,10 mg
1016.jpg,00093-0892-01_A32B519A,93,892,False,False,False,fcn_mix_weight/dc_224/1016.jpg,00093-0892-01_A32B519A,Etodolac,93 892,Pink,Oval,400 mg
1017.jpg,00172-5413-46_E923F4AF,172,5413,False,False,False,fcn_mix_weight/dc_224/1017.jpg,00172-5413-46_E923F4AF,Fluconazole,Logo 200 5413,Pink,Oval,200 mg
1018.jpg,41616-0759-83_671DB3BD,41616,759,False,False,False,fcn_mix_weight/dc_224/1018.jpg,41616-0759-83_671DB3BD,Venlafaxine Hydrochloride Extended Release,759,Pink & White,Round,75 mg
1019.jpg,00378-3632-01_4B242591,378,3632,False,True,False,fcn_mix_weight/dc_224/1019.jpg,00378-3632-01_4B242591,Carvedilol,M C32,White,Round,6.25 mg
1020.jpg,41616-0636-83_1A240D60,41616,636,False,False,False,fcn_mix_weight/dc_224/1020.jpg,41616-0636-83_1A240D60,Alendronate Sodium,10,White,Round,10 mg
1021.jpg,64679-0936-03_7E05BF4D,64679,936,False,False,False,fcn_mix_weight/dc_224/1021.jpg,64679-0936-03_7E05BF4D,Famotidine,W 936,Beige,Barrel,20 mg
1023.jpg,00781-5191-01_CD20E6B7,781,5191,False,True,False,fcn_mix_weight/dc_224/1023.jpg,00781-5191-01_CD20E6B7,Levothyroxine Sodium,137 GG 330,Blue,Capsule-shape,137 mcg (0.137 mg)
1024.jpg,59762-5024-01_4D26A6A5,59762,5024,False,False,False,fcn_mix_weight/dc_224/1024.jpg,59762-5024-01_4D26A6A5,Gabapentin,G 22,White,Oval,800 mg
1025.jpg,00603-6147-21_212190CC,603,6147,False,False,False,fcn_mix_weight/dc_224/1025.jpg,00603-6147-21_212190CC,,,,,
